,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,RAT LN,Rathbones Group PLC,,,,,,,,,,2%,209%,$ 1.682,00,$    1.616,00,$  2.873,00,$      2.800,00,$   5.190,96,8.46%,2.29%,4.50%,9.67%,36.75%,36.75%,115%,,,,,,,NO,,,8.02%,2.10%,5.92%,0.10%,59
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,0.00%,,Rathbones Group PLC - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,7.36%,11/10/2017,,,,,,,,,,$  2.873,00,71%,7.07%,$   5.190,96,$   1.327,86,$       1.230,00,$       746.89,2.07%,7.36%,4.14%,4.25%,-39.93%,-34.63%,-6%,,,,5Y CAGR,9.97%,,Rathbones Group PLC - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,2022,4/20/2022,2.125,00,,,,,,,,,,3.86%,2.125,00,82.00,3.576,97,1.113,55,1.979,71,41%,68%,2.29%,7.36%,5.60%,-20.85%,-20.85%,0,4.14%,-24.11%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,4/21/2022,2.085,00,,,,,,,,,,3.93%,2.085,00,82.00,3.576,97,1.113,55,1.979,71,39%,72%,2.29%,7.36%,5.71%,-19.33%,-19.33%,0,4.14%,-25.54%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,4/22/2022,2.090,00,,,,,,,,,,3.92%,2.090,00,82.00,3.576,97,1.113,55,1.979,71,40%,71%,2.29%,7.36%,5.69%,-19.52%,-19.52%,0,4.14%,-25.36%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,4/25/2022,2.070,00,,,,,,,,,,3.96%,2.070,00,82.00,3.576,97,1.113,55,1.979,71,39%,73%,2.29%,7.36%,5.75%,-18.74%,-18.74%,0,4.14%,-26.07%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,4/26/2022,2.050,00,,,,,,,,,,4.00%,2.050,00,82.00,3.576,97,1.113,55,1.979,71,38%,74%,2.29%,7.36%,5.80%,-17.95%,-17.95%,0,4.14%,-26.79%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,4/27/2022,2.080,00,,,,,,,,,,3.94%,2.080,00,82.00,3.576,97,1.113,55,1.979,71,39%,72%,2.29%,7.36%,5.72%,-19.13%,-19.13%,0,4.14%,-25.71%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,4/28/2022,2.080,00,,,,,,,,,,3.94%,2.080,00,82.00,3.576,97,1.113,55,1.979,71,39%,72%,2.29%,7.36%,5.72%,-19.13%,-19.13%,0,4.14%,-25.71%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,4/29/2022,2.100,00,,,,,,,,,,3.90%,2.100,00,82.00,3.576,97,1.113,55,1.979,71,40%,70%,2.29%,7.36%,5.67%,-19.90%,-19.90%,0,4.14%,-25.00%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,5/2/2022,,,,,,,,,,,3.90%,2.100,00,82.00,3.576,97,1.113,55,1.979,71,40%,70%,2.29%,7.36%,5.67%,-19.90%,-19.90%,0,4.14%,-25.00%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,5/3/2022,2.070,00,,,,,,,,,,3.96%,2.070,00,82.00,3.576,97,1.113,55,1.979,71,39%,73%,2.29%,7.36%,5.75%,-18.74%,-18.74%,0,4.14%,-26.07%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,5/4/2022,2.090,00,,,,,,,,,,3.92%,2.090,00,82.00,3.576,97,1.113,55,1.979,71,40%,71%,2.29%,7.36%,5.69%,-19.52%,-19.52%,0,4.14%,-25.36%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,5/5/2022,2.075,00,,,,,,,,,,3.95%,2.075,00,82.00,3.576,97,1.113,55,1.979,71,39%,72%,2.29%,7.36%,5.73%,-18.94%,-18.94%,0,4.14%,-25.89%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,5/6/2022,2.020,00,,,,,,,,,,4.06%,2.020,00,82.00,3.576,97,1.113,55,1.979,71,37%,77%,2.29%,7.36%,5.89%,-16.73%,-16.73%,0,4.14%,-27.86%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,5/9/2022,1.972,00,,,,,,,,,,4.16%,1.972,00,82.00,3.576,97,1.113,55,1.979,71,35%,81%,2.29%,7.36%,6.03%,-14.71%,-14.71%,0,4.14%,-29.57%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,5/10/2022,2.000,00,,,,,,,,,,4.10%,2.000,00,82.00,3.576,97,1.113,55,1.979,71,36%,79%,2.29%,7.36%,5.95%,-15.90%,-15.90%,0,4.14%,-28.57%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,5/11/2022,2.010,00,,,,,,,,,,4.08%,2.010,00,82.00,3.576,97,1.113,55,1.979,71,36%,78%,2.29%,7.36%,5.92%,-16.32%,-16.32%,0,4.14%,-28.21%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,5/12/2022,2.010,00,,,,,,,,,,4.08%,2.010,00,82.00,3.576,97,1.113,55,1.979,71,36%,78%,2.29%,7.36%,5.92%,-16.32%,-16.32%,0,4.14%,-28.21%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,5/13/2022,2.055,00,,,,,,,,,,3.99%,2.055,00,82.00,3.576,97,1.113,55,1.979,71,38%,74%,2.29%,7.36%,5.79%,-18.15%,-18.15%,0,4.14%,-26.61%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,5/16/2022,2.050,00,,,,,,,,,,4.00%,2.050,00,82.00,3.576,97,1.113,55,1.979,71,38%,74%,2.29%,7.36%,5.80%,-17.95%,-17.95%,0,4.14%,-26.79%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,5/17/2022,2.070,00,,,,,,,,,,3.96%,2.070,00,82.00,3.576,97,1.113,55,1.979,71,39%,73%,2.29%,7.36%,5.75%,-18.74%,-18.74%,0,4.14%,-26.07%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,5/18/2022,2.080,00,,,,,,,,,,3.94%,2.080,00,82.00,3.576,97,1.113,55,1.979,71,39%,72%,2.29%,7.36%,5.72%,-19.13%,-19.13%,0,4.14%,-25.71%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,5/19/2022,2.045,00,,,,,,,,,,4.01%,2.045,00,82.00,3.576,97,1.113,55,1.979,71,38%,75%,2.29%,7.36%,5.82%,-17.75%,-17.75%,0,4.14%,-26.96%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,5/20/2022,2.045,00,,,,,,,,,,4.01%,2.045,00,82.00,3.576,97,1.113,55,1.979,71,38%,75%,2.29%,7.36%,5.82%,-17.75%,-17.75%,0,4.14%,-26.96%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,5/23/2022,2.075,00,,,,,,,,,,3.95%,2.075,00,82.00,3.576,97,1.113,55,1.979,71,39%,72%,2.29%,7.36%,5.73%,-18.94%,-18.94%,0,4.14%,-25.89%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,5/24/2022,2.050,00,,,,,,,,,,4.00%,2.050,00,82.00,3.576,97,1.113,55,1.979,71,38%,74%,2.29%,7.36%,5.80%,-17.95%,-17.95%,0,4.14%,-26.79%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,5/25/2022,2.010,00,,,,,,,,,,4.08%,2.010,00,82.00,3.576,97,1.113,55,1.979,71,36%,78%,2.29%,7.36%,5.92%,-16.32%,-16.32%,0,4.14%,-28.21%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,5/26/2022,2.015,00,,,,,,,,,,4.07%,2.015,00,82.00,3.576,97,1.113,55,1.979,71,37%,78%,2.29%,7.36%,5.91%,-16.53%,-16.53%,0,4.14%,-28.04%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,5/27/2022,2.020,00,,,,,,,,,,4.06%,2.020,00,82.00,3.576,97,1.113,55,1.979,71,37%,77%,2.29%,7.36%,5.89%,-16.73%,-16.73%,0,4.14%,-27.86%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,5/30/2022,2.050,00,,,,,,,,,,4.00%,2.050,00,82.00,3.576,97,1.113,55,1.979,71,38%,74%,2.29%,7.36%,5.80%,-17.95%,-17.95%,0,4.14%,-26.79%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,5/31/2022,2.065,00,,,,,,,,,,3.97%,2.065,00,82.00,3.576,97,1.113,55,1.979,71,39%,73%,2.29%,7.36%,5.76%,-18.55%,-18.55%,0,4.14%,-26.25%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,6/1/2022,2.060,00,,,,,,,,,,3.98%,2.060,00,82.00,3.576,97,1.113,55,1.979,71,38%,74%,2.29%,7.36%,5.78%,-18.35%,-18.35%,0,4.14%,-26.43%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,6/2/2022,,,,,,,,,,,3.98%,2.060,00,82.00,3.576,97,1.113,55,1.979,71,38%,74%,2.29%,7.36%,5.78%,-18.35%,-18.35%,0,4.14%,-26.43%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,6/3/2022,,,,,,,,,,,3.98%,2.060,00,82.00,3.576,97,1.113,55,1.979,71,38%,74%,2.29%,7.36%,5.78%,-18.35%,-18.35%,0,4.14%,-26.43%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,6/6/2022,2.090,00,,,,,,,,,,3.92%,2.090,00,82.00,3.576,97,1.113,55,1.979,71,40%,71%,2.29%,7.36%,5.69%,-19.52%,-19.52%,0,4.14%,-25.36%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,6/7/2022,2.080,00,,,,,,,,,,3.94%,2.080,00,82.00,3.576,97,1.113,55,1.979,71,39%,72%,2.29%,7.36%,5.72%,-19.13%,-19.13%,0,4.14%,-25.71%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,6/8/2022,2.065,00,,,,,,,,,,3.97%,2.065,00,82.00,3.576,97,1.113,55,1.979,71,39%,73%,2.29%,7.36%,5.76%,-18.55%,-18.55%,0,4.14%,-26.25%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,6/9/2022,2.070,00,,,,,,,,,,3.96%,2.070,00,82.00,3.576,97,1.113,55,1.979,71,39%,73%,2.29%,7.36%,5.75%,-18.74%,-18.74%,0,4.14%,-26.07%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,6/10/2022,2.070,00,,,,,,,,,,3.96%,2.070,00,82.00,3.576,97,1.113,55,1.979,71,39%,73%,2.29%,7.36%,5.75%,-18.74%,-18.74%,0,4.14%,-26.07%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,6/13/2022,2.050,00,,,,,,,,,,4.00%,2.050,00,82.00,3.576,97,1.113,55,1.979,71,38%,74%,2.29%,7.36%,5.80%,-17.95%,-17.95%,0,4.14%,-26.79%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,6/14/2022,2.050,00,,,,,,,,,,4.00%,2.050,00,82.00,3.576,97,1.113,55,1.979,71,38%,74%,2.29%,7.36%,5.80%,-17.95%,-17.95%,0,4.14%,-26.79%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,6/15/2022,2.000,00,,,,,,,,,,4.10%,2.000,00,82.00,3.576,97,1.113,55,1.979,71,36%,79%,2.29%,7.36%,5.95%,-15.90%,-15.90%,0,4.14%,-28.57%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,6/16/2022,1.954,00,,,,,,,,,,4.20%,1.954,00,82.00,3.576,97,1.113,55,1.979,71,34%,83%,2.29%,7.36%,6.09%,-13.92%,-13.92%,0,4.14%,-30.21%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,6/17/2022,1.934,00,,,,,,,,,,4.24%,1.934,00,82.00,3.576,97,1.113,55,1.979,71,33%,85%,2.29%,7.36%,6.15%,-13.03%,-13.03%,0,4.14%,-30.93%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,6/20/2022,1.966,00,,,,,,,,,,4.17%,1.966,00,82.00,3.576,97,1.113,55,1.979,71,35%,82%,2.29%,7.36%,6.05%,-14.45%,-14.45%,0,4.14%,-29.79%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,6/21/2022,1.982,00,,,,,,,,,,4.14%,1.982,00,82.00,3.576,97,1.113,55,1.979,71,35%,80%,2.29%,7.36%,6.00%,-15.14%,-15.14%,0,4.14%,-29.21%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,6/22/2022,1.974,00,,,,,,,,,,4.15%,1.974,00,82.00,3.576,97,1.113,55,1.979,71,35%,81%,2.29%,7.36%,6.03%,-14.79%,-14.79%,0,4.14%,-29.50%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,6/23/2022,1.942,00,,,,,,,,,,4.22%,1.942,00,82.00,3.576,97,1.113,55,1.979,71,34%,84%,2.29%,7.36%,6.13%,-13.39%,-13.39%,0,4.14%,-30.64%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,6/24/2022,1.958,00,,,,,,,,,,4.19%,1.958,00,82.00,3.576,97,1.113,55,1.979,71,34%,83%,2.29%,7.36%,6.08%,-14.10%,-14.10%,0,4.14%,-30.07%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,6/27/2022,1.978,00,,,,,,,,,,4.15%,1.978,00,82.00,3.576,97,1.113,55,1.979,71,35%,81%,2.29%,7.36%,6.02%,-14.96%,-14.96%,0,4.14%,-29.36%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,6/28/2022,1.992,00,,,,,,,,,,4.12%,1.992,00,82.00,3.576,97,1.113,55,1.979,71,36%,80%,2.29%,7.36%,5.97%,-15.56%,-15.56%,0,4.14%,-28.86%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,6/29/2022,1.964,00,,,,,,,,,,4.18%,1.964,00,82.00,3.576,97,1.113,55,1.979,71,35%,82%,2.29%,7.36%,6.06%,-14.36%,-14.36%,0,4.14%,-29.86%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,6/30/2022,1.942,00,,,,,,,,,,4.22%,1.942,00,82.00,3.576,97,1.113,55,1.979,71,34%,84%,2.29%,7.36%,6.13%,-13.39%,-13.39%,0,4.14%,-30.64%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,7/1/2022,1.910,00,,,,,,,,,,4.29%,1.910,00,82.00,3.576,97,1.113,55,1.979,71,32%,87%,2.29%,7.36%,6.23%,-11.94%,-11.94%,0,4.14%,-31.79%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,7/4/2022,1.938,00,,,,,,,,,,4.23%,1.938,00,82.00,3.576,97,1.113,55,1.979,71,33%,85%,2.29%,7.36%,6.14%,-13.21%,-13.21%,0,4.14%,-30.79%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,7/5/2022,1.918,00,,,,,,,,,,4.28%,1.918,00,82.00,3.576,97,1.113,55,1.979,71,33%,86%,2.29%,7.36%,6.20%,-12.30%,-12.30%,0,4.14%,-31.50%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,7/6/2022,1.910,00,,,,,,,,,,4.29%,1.910,00,82.00,3.576,97,1.113,55,1.979,71,32%,87%,2.29%,7.36%,6.23%,-11.94%,-11.94%,0,4.14%,-31.79%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,7/7/2022,1.920,00,,,,,,,,,,4.27%,1.920,00,82.00,3.576,97,1.113,55,1.979,71,33%,86%,2.29%,7.36%,6.20%,-12.40%,-12.40%,0,4.14%,-31.43%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,7/8/2022,1.914,00,,,,,,,,,,4.28%,1.914,00,82.00,3.576,97,1.113,55,1.979,71,32%,87%,2.29%,7.36%,6.22%,-12.12%,-12.12%,0,4.14%,-31.64%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,7/11/2022,1.944,00,,,,,,,,,,4.22%,1.944,00,82.00,3.576,97,1.113,55,1.979,71,34%,84%,2.29%,7.36%,6.12%,-13.48%,-13.48%,0,4.14%,-30.57%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,7/12/2022,1.926,00,,,,,,,,,,4.26%,1.926,00,82.00,3.576,97,1.113,55,1.979,71,33%,86%,2.29%,7.36%,6.18%,-12.67%,-12.67%,0,4.14%,-31.21%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,7/13/2022,1.908,00,,,,,,,,,,4.30%,1.908,00,82.00,3.576,97,1.113,55,1.979,71,32%,87%,2.29%,7.36%,6.24%,-11.84%,-11.84%,0,4.14%,-31.86%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,7/14/2022,1.898,00,,,,,,,,,,4.32%,1.898,00,82.00,3.576,97,1.113,55,1.979,71,32%,88%,2.29%,7.36%,6.27%,-11.38%,-11.38%,0,4.14%,-32.21%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,7/15/2022,1.920,00,,,,,,,,,,4.27%,1.920,00,82.00,3.576,97,1.113,55,1.979,71,33%,86%,2.29%,7.36%,6.20%,-12.40%,-12.40%,0,4.14%,-31.43%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,7/18/2022,1.924,00,,,,,,,,,,4.26%,1.924,00,82.00,3.576,97,1.113,55,1.979,71,33%,86%,2.29%,7.36%,6.19%,-12.58%,-12.58%,0,4.14%,-31.29%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,7/19/2022,1.924,00,,,,,,,,,,4.26%,1.924,00,82.00,3.576,97,1.113,55,1.979,71,33%,86%,2.29%,7.36%,6.19%,-12.58%,-12.58%,0,4.14%,-31.29%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,7/20/2022,1.910,00,,,,,,,,,,4.29%,1.910,00,82.00,3.576,97,1.113,55,1.979,71,32%,87%,2.29%,7.36%,6.23%,-11.94%,-11.94%,0,4.14%,-31.79%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,7/21/2022,1.934,00,,,,,,,,,,4.24%,1.934,00,82.00,3.576,97,1.113,55,1.979,71,33%,85%,2.29%,7.36%,6.15%,-13.03%,-13.03%,0,4.14%,-30.93%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,7/22/2022,1.914,00,,,,,,,,,,4.28%,1.914,00,82.00,3.576,97,1.113,55,1.979,71,32%,87%,2.29%,7.36%,6.22%,-12.12%,-12.12%,0,4.14%,-31.64%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,7/25/2022,1.872,00,,,,,,,,,,4.38%,1.872,00,82.00,3.576,97,1.113,55,1.979,71,31%,91%,2.29%,7.36%,6.36%,-10.15%,-10.15%,0,4.14%,-33.14%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,7/26/2022,1.878,00,,,,,,,,,,4.37%,1.878,00,82.00,3.576,97,1.113,55,1.979,71,31%,90%,2.29%,7.36%,6.34%,-10.44%,-10.44%,0,4.14%,-32.93%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,7/27/2022,1.872,00,,,,,,,,,,4.38%,1.872,00,82.00,3.576,97,1.113,55,1.979,71,31%,91%,2.29%,7.36%,6.36%,-10.15%,-10.15%,0,4.14%,-33.14%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,7/28/2022,1.854,00,,,,,,,,,,4.42%,1.854,00,82.00,3.576,97,1.113,55,1.979,71,30%,93%,2.29%,7.36%,6.42%,-9.28%,-9.28%,0,4.14%,-33.79%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,7/29/2022,1.810,00,,,,,,,,,,4.53%,1.810,00,82.00,3.576,97,1.113,55,1.979,71,28%,98%,2.29%,7.36%,6.57%,-7.07%,-7.07%,0,4.14%,-35.36%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,8/1/2022,1.866,00,,,,,,,,,,4.39%,1.866,00,82.00,3.576,97,1.113,55,1.979,71,31%,92%,2.29%,7.36%,6.38%,-9.86%,-9.86%,0,4.14%,-33.36%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,8/2/2022,1.840,00,,,,,,,,,,4.46%,1.840,00,82.00,3.576,97,1.113,55,1.979,71,29%,94%,2.29%,7.36%,6.47%,-8.59%,-8.59%,0,4.14%,-34.29%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,8/3/2022,1.852,00,,,,,,,,,,4.43%,1.852,00,82.00,3.576,97,1.113,55,1.979,71,30%,93%,2.29%,7.36%,6.43%,-9.18%,-9.18%,0,4.14%,-33.86%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,8/4/2022,1.832,00,,,,,,,,,,4.48%,1.832,00,82.00,3.576,97,1.113,55,1.979,71,29%,95%,2.29%,7.36%,6.50%,-8.19%,-8.19%,0,4.14%,-34.57%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,8/5/2022,1.816,00,,,,,,,,,,4.52%,1.816,00,82.00,3.576,97,1.113,55,1.979,71,29%,97%,2.29%,7.36%,6.55%,-7.38%,-7.38%,0,4.14%,-35.14%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,8/8/2022,1.820,00,,,,,,,,,,4.51%,1.820,00,82.00,3.576,97,1.113,55,1.979,71,29%,97%,2.29%,7.36%,6.54%,-7.58%,-7.58%,0,4.14%,-35.00%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,8/9/2022,1.814,00,,,,,,,,,,4.52%,1.814,00,82.00,3.576,97,1.113,55,1.979,71,28%,97%,2.29%,7.36%,6.56%,-7.28%,-7.28%,0,4.14%,-35.21%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,8/10/2022,1.856,00,,,,,,,,,,4.42%,1.856,00,82.00,3.576,97,1.113,55,1.979,71,30%,93%,2.29%,7.36%,6.41%,-9.38%,-9.38%,0,4.14%,-33.71%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,8/11/2022,1.870,00,,,,,,,,,,4.39%,1.870,00,82.00,3.576,97,1.113,55,1.979,71,31%,91%,2.29%,7.36%,6.36%,-10.05%,-10.05%,0,4.14%,-33.21%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,8/12/2022,1.864,00,,,,,,,,,,4.40%,1.864,00,82.00,3.576,97,1.113,55,1.979,71,30%,92%,2.29%,7.36%,6.38%,-9.76%,-9.76%,0,4.14%,-33.43%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,8/15/2022,1.858,00,,,,,,,,,,4.41%,1.858,00,82.00,3.576,97,1.113,55,1.979,71,30%,93%,2.29%,7.36%,6.40%,-9.47%,-9.47%,0,4.14%,-33.64%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,8/16/2022,1.872,00,,,,,,,,,,4.38%,1.872,00,82.00,3.576,97,1.113,55,1.979,71,31%,91%,2.29%,7.36%,6.36%,-10.15%,-10.15%,0,4.14%,-33.14%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,8/17/2022,1.842,00,,,,,,,,,,4.45%,1.842,00,82.00,3.576,97,1.113,55,1.979,71,30%,94%,2.29%,7.36%,6.46%,-8.69%,-8.69%,0,4.14%,-34.21%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,8/18/2022,1.860,00,,,,,,,,,,4.41%,1.860,00,82.00,3.576,97,1.113,55,1.979,71,30%,92%,2.29%,7.36%,6.40%,-9.57%,-9.57%,0,4.14%,-33.57%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,8/19/2022,1.844,00,,,,,,,,,,4.45%,1.844,00,82.00,3.576,97,1.113,55,1.979,71,30%,94%,2.29%,7.36%,6.45%,-8.79%,-8.79%,0,4.14%,-34.14%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,8/22/2022,1.780,00,,,,,,,,,,4.61%,1.780,00,82.00,3.576,97,1.113,55,1.979,71,27%,101%,2.29%,7.36%,6.69%,-5.51%,-5.51%,0,4.14%,-36.43%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,8/23/2022,1.760,00,,,,,,,,,,4.66%,1.760,00,82.00,3.576,97,1.113,55,1.979,71,26%,103%,2.29%,7.36%,6.76%,-4.43%,-4.43%,0,4.14%,-37.14%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,8/24/2022,1.786,00,,,,,,,,,,4.59%,1.786,00,82.00,3.576,97,1.113,55,1.979,71,27%,100%,2.29%,7.36%,6.66%,-5.82%,-5.82%,0,4.14%,-36.21%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,8/25/2022,1.812,00,,,,,,,,,,4.53%,1.812,00,82.00,3.576,97,1.113,55,1.979,71,28%,97%,2.29%,7.36%,6.57%,-7.17%,-7.17%,0,4.14%,-35.29%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,8/26/2022,1.804,00,,,,,,,,,,4.55%,1.804,00,82.00,3.576,97,1.113,55,1.979,71,28%,98%,2.29%,7.36%,6.60%,-6.76%,-6.76%,0,4.14%,-35.57%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,8/29/2022,,,,,,,,,,,4.55%,1.804,00,82.00,3.576,97,1.113,55,1.979,71,28%,98%,2.29%,7.36%,6.60%,-6.76%,-6.76%,0,4.14%,-35.57%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,8/30/2022,1.802,00,,,,,,,,,,4.55%,1.802,00,82.00,3.576,97,1.113,55,1.979,71,28%,98%,2.29%,7.36%,6.60%,-6.66%,-6.66%,0,4.14%,-35.64%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,8/31/2022,1.802,00,,,,,,,,,,4.55%,1.802,00,82.00,3.576,97,1.113,55,1.979,71,28%,98%,2.29%,7.36%,6.60%,-6.66%,-6.66%,0,4.14%,-35.64%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,9/1/2022,1.678,00,,,,,,,,,,4.89%,1.678,00,82.00,3.576,97,1.113,55,1.979,71,23%,113%,2.29%,7.36%,7.09%,0.24%,0.24%,0,4.14%,-40.07%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2022,9/2/2022,1.704,00,,,,,,,,,,4.81%,1.704,00,82.00,3.576,97,1.113,55,1.979,71,24%,110%,2.29%,7.36%,6.98%,-1.29%,-1.29%,0,4.14%,-39.14%,,,,,,,,,,,,
